Town,County,2012,Upper
Abington,PLYMOUTH,"16,060",ABINGTON
Acton,MIDDLESEX,"22,599",ACTON
Acushnet,BRISTOL,"10,326",ACUSHNET
Adams,BERKSHIRE,"8,383",ADAMS
Agawam,HAMPDEN,"28,608",AGAWAM
Alford,BERKSHIRE,492,ALFORD
Amesbury,ESSEX,"16,535",AMESBURY
Amherst,HAMPSHIRE,"39,016",AMHERST
Andover,ESSEX,"34,142",ANDOVER
Arlington,MIDDLESEX,"43,711",ARLINGTON
Ashburnham,WORCESTER,"6,134",ASHBURNHAM
Ashby,MIDDLESEX,"3,140",ASHBY
Ashfield,FRANKLIN,"1,739",ASHFIELD
Ashland,MIDDLESEX,"16,993",ASHLAND
Athol,WORCESTER,"11,631",ATHOL
Attleboro,BRISTOL,"43,837",ATTLEBORO
Auburn,WORCESTER,"16,287",AUBURN
Avon,NORFOLK,"4,386",AVON
Ayer,MIDDLESEX,"7,688",AYER
Barnstable,BARNSTABLE,"44,824",BARNSTABLE
Barre,WORCESTER,"5,429",BARRE
Becket,BERKSHIRE,"1,778",BECKET
Bedford,MIDDLESEX,"13,765",BEDFORD
Belchertown,HAMPSHIRE,"14,719",BELCHERTOWN
Bellingham,NORFOLK,"16,521",BELLINGHAM
Belmont,MIDDLESEX,"25,204",BELMONT
Berkley,BRISTOL,"6,499",BERKLEY
Berlin,WORCESTER,"2,902",BERLIN
Bernardston,FRANKLIN,"2,134",BERNARDSTON
Beverly,ESSEX,"40,286",BEVERLY
Billerica,MIDDLESEX,"41,454",BILLERICA
Blackstone,WORCESTER,"9,059",BLACKSTONE
Blandford,HAMPDEN,"1,240",BLANDFORD
Bolton,WORCESTER,"5,016",BOLTON
Boston,SUFFOLK,"636,479",BOSTON
Bourne,BARNSTABLE,"19,806",BOURNE
Boxborough,MIDDLESEX,"5,105",BOXBOROUGH
Boxford,ESSEX,"8,087",BOXFORD
Boylston,WORCESTER,"4,393",BOYLSTON
Braintree,NORFOLK,"36,249",BRAINTREE
Brewster,BARNSTABLE,"9,806",BREWSTER
Bridgewater,PLYMOUTH,"26,902",BRIDGEWATER
Brimfield,HAMPDEN,"3,660",BRIMFIELD
Brockton,PLYMOUTH,"94,094",BROCKTON
Brookfield,WORCESTER,"3,403",BROOKFIELD
Brookline,NORFOLK,"59,115",BROOKLINE
Buckland,FRANKLIN,"1,902",BUCKLAND
Burlington,MIDDLESEX,"25,165",BURLINGTON
Cambridge,MIDDLESEX,"106,471",CAMBRIDGE
Canton,NORFOLK,"21,932",CANTON
Carlisle,MIDDLESEX,"4,978",CARLISLE
Carver,PLYMOUTH,"11,521",CARVER
Charlemont,FRANKLIN,"1,263",CHARLEMONT
Charlton,WORCESTER,"13,119",CHARLTON
Chatham,BARNSTABLE,"6,141",CHATHAM
Chelmsford,MIDDLESEX,"34,545",CHELMSFORD
Chelsea,SUFFOLK,"36,828",CHELSEA
Cheshire,BERKSHIRE,"3,219",CHESHIRE
Chester,HAMPDEN,"1,351",CHESTER
Chesterfield,HAMPSHIRE,"1,235",CHESTERFIELD
Chicopee,HAMPDEN,"55,490",CHICOPEE
Chilmark,DUKES,900,CHILMARK
Clarksburg,BERKSHIRE,"1,689",CLARKSBURG
Clinton,WORCESTER,"13,668",CLINTON
Cohasset,NORFOLK,"8,195",COHASSET
Colrain,FRANKLIN,"1,673",COLRAIN
Concord,MIDDLESEX,"18,957",CONCORD
Conway,FRANKLIN,"1,904",CONWAY
Cummington,HAMPSHIRE,870,CUMMINGTON
Dalton,BERKSHIRE,"6,733",DALTON
